"{""customer_id"":1,""full_name"":""Nguyễn Văn An"",""date_of_birth"":""1995-01-01"",""id_number"":""ID1001"",""phone"":""090000001"",""email"":""an.nguyen@mail.com"",""address"":""Hà N?i"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":2,""full_name"":""Trần Thị Bình"",""date_of_birth"":""1994-02-02"",""id_number"":""ID1002"",""phone"":""090000002"",""email"":""binh.tran@mail.com"",""address"":""TP HCM"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":3,""full_name"":""Lê Văn Cường"",""date_of_birth"":""1993-03-03"",""id_number"":""ID1003"",""phone"":""090000003"",""email"":""cuong.le@mail.com"",""address"":""Đà N?ng"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":4,""full_name"":""Phạm Thị Dung"",""date_of_birth"":""1992-04-04"",""id_number"":""ID1004"",""phone"":""090000004"",""email"":""dung.pham@mail.com"",""address"":""Hà N?i"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":5,""full_name"":""Hoàng Văn Đức"",""date_of_birth"":""1991-05-05"",""id_number"":""ID1005"",""phone"":""090000005"",""email"":""duc.hoang@mail.com"",""address"":""TP HCM"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":6,""full_name"":""Đỗ Thị Hạnh"",""date_of_birth"":""1990-06-06"",""id_number"":""ID1006"",""phone"":""090000006"",""email"":""hanh.do@mail.com"",""address"":""C?n Thơ"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":7,""full_name"":""Bùi Văn Hải"",""date_of_birth"":""1989-07-07"",""id_number"":""ID1007"",""phone"":""090000007"",""email"":""hai.bui@mail.com"",""address"":""H?i Ph?ng"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":8,""full_name"":""Vũ Thị Hoa"",""date_of_birth"":""1988-08-08"",""id_number"":""ID1008"",""phone"":""090000008"",""email"":""hoa.vu@mail.com"",""address"":""Hà N?i"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":9,""full_name"":""Đặng Văn Hùng"",""date_of_birth"":""1987-09-09"",""id_number"":""ID1009"",""phone"":""090000009"",""email"":""hung.dang@mail.com"",""address"":""Đà N?ng"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":10,""full_name"":""Ngô Thị Lan"",""date_of_birth"":""1986-10-10"",""id_number"":""ID1010"",""phone"":""090000010"",""email"":""lan.ngo@mail.com"",""address"":""TP HCM"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":11,""full_name"":""Nguyễn Văn Long"",""date_of_birth"":""1995-01-11"",""id_number"":""ID1011"",""phone"":""090000011"",""email"":""long.nguyen@mail.com"",""address"":""Hà N?i"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":12,""full_name"":""Trần Thị Mai"",""date_of_birth"":""1994-02-12"",""id_number"":""ID1012"",""phone"":""090000012"",""email"":""mai.tran@mail.com"",""address"":""TP HCM"",""created_at"":""2026-01-01T14:55:48.517""}"
"{""customer_id"":13,""full_name"":""Lê Văn Minh"",""date_of_birth"":""1993-03-13"",""id_number"":""ID1013"",""phone"":""090000013"",""email"":""minh.le@mail.com"",""address"":""Đà N?ng"",""created_at"":""2026-01-01T14:55:48.517""}"
